"","intercept","depth__cm","temperature__C","oxidation_reduction_potential__Mv","salinity__ppt","water_crowfoot__Ranunculus","rushes__Juncus_or_Scirpus","filamentous_algae","emergent_grass","ivy_leafed_duckweed__Lemna_trisulca","bulrushes__Typha","reeds_Phragmites","marestail__Hippuris","common_duckweed__Lemna_minor"
"1",1336.63894125559,879.522950170978,1868.81454676448,861.463295965355,1219.82291932925,1858.45748800296,1348.68706585987,1863.06336471421,1536.13179489086,2330.66922425949,2138.98137881051,1474.9122602699,1199.22508458762,2549.30418421926
"2",1466.43168602618,897.268196204853,2691.1584805166,2432.55901370012,1945.36164437652,2307.49725899514,1798.26539895904,1910.49079789537,1194.0542733573,2905.48904350743,1959.15439530949,1315.60700600298,1791.38801619265,2690.37054124743
"3",174.993389304768,81.3465584546954,114.36986180927,203.594822111048,72.3822727818225,53.7093871924438,180.44462159358,186.986538994435,97.5504535036697,252.09340616504,138.279983687994,44.0830307290484,80.6198873741288,207.303648178327
"4",869.893387431722,1578.2415617644,2385.84905516521,1632.06180592696,455.438071645403,2300.8006652508,941.743027359388,2204.25104034568,1094.82113842664,2432.45756221518,1967.33517318252,1600.9082303549,1972.11752313912,2020.98280891319
"5",2539.40972809376,2942.9288142687,2295.85345340931,2245.09516800776,490.267119893183,2329.86019670893,2552.2097088005,2535.83933386041,1353.25307063272,2810.96932451329,2890.51955033729,1595.99783714519,2215.77023116007,2541.29203872396
"6",1669.85501068615,1678.79499631654,1944.99355976818,2165.51946522751,556.853884391818,2196.16921759383,1694.01021601997,2045.23933512031,190.979683382024,2642.06278718228,3071.53894860354,2280.79313202822,1912.18853743854,2625.84526609829
"7",2183.78656175887,2944.17452519343,2644.57674575836,2034.78176229549,1271.43548914135,1526.82376032502,2166.26211342946,2079.27047475042,1517.41091166354,2301.2115802607,2338.32248871123,2397.78524247998,1150.5896629077,1808.04487791941
"8",2133.92539633698,2039.67546482577,2194.26465262045,2144.75491289763,437.040457021547,2397.10460785829,1835.15655012483,2412.00496962201,1600.27343661006,2700.02529421955,2134.29582478403,2520.71832862083,1810.62538810859,2188.41359555438
"9",1245.45550847077,1800.26958705959,1143.77634706455,697.516797570248,1687.0757931636,1239.58882197826,1406.95542388578,876.026008069947,1312.74514579583,275.45195205732,688.179341826713,1972.08721136987,626.110893575745,1007.95923187057
"10",1541.32368850876,2184.06593970689,1103.01927254229,829.646738385482,1121.93239034297,2016.33499182984,1639.6533645696,1658.37399562871,1393.78489593711,350.419624875735,909.590274075344,2202.15096117075,1402.71431835685,1525.88347348453
"11",139.617525301931,237.844995473388,898.029244504453,758.523313941482,356.138275672257,660.995040088957,114.113181596672,896.510352967769,1199.74635051495,341.134157457305,1208.79353763119,355.447534624617,1153.07247483996,891.724199937199
"12",269.535804174091,525.866867503534,632.911347201344,544.6797129243,178.673852358155,517.077826717111,348.254070845226,570.344707733161,179.701515629787,344.946726325575,516.788530890675,47.3201767082569,617.461953451763,1034.34861246144
"13",991.35866743145,1121.55721870653,1918.16808324587,1803.39850183372,237.706888364582,2210.98603678639,1007.37624631976,2055.94934149161,840.664784679177,3091.29844169354,2110.11313942792,1372.03600728998,2223.3830085132,2103.79546290214
"14",109.513217276154,36.9735739870395,299.573140415799,320.388108083829,117.169561745556,291.197993448412,157.947353739001,106.598575391193,124.381810047887,254.448004490762,478.297472454949,45.305146168602,449.160190174624,529.664138511154
"15",705.113321346526,755.069139084032,709.889537573014,914.132587746784,152.611094623791,1160.97984912415,684.377798029097,655.694750486603,131.655027197618,315.057831688513,477.2578707974,565.180822799827,1137.64892097753,1002.29556658253
"16",141.718310876347,553.601909904046,1073.31495163085,596.1362048215,210.470942313597,822.91256434061,140.713601273788,446.304415118454,647.925957389761,719.410766715351,103.824779214776,862.867155519218,1536.73556442152,851.347114664486
